Step,Value53,Value44,Value35,bl_Value53,bl_Value44,bl_Value35
2048,9.807609558,11.26494503,12.07125568,10.92560768,12.02473354,12.41921425
4096,9.752448082,11.20479012,12.02586937,10.68120766,11.83843231,12.34275341
6144,10.15221882,11.50179482,12.20071697,10.89631653,12.0012188,12.42616081
8192,10.30448341,11.60718155,12.29010868,10.78144073,11.89577389,12.3900547
10240,10.47910881,11.75623417,12.3865366,10.95145893,12.01084709,12.46219826
12288,10.62965488,11.89749432,12.40667534,10.95022297,12.06506443,12.42647934
14336,10.6925745,12.06101608,12.67505264,10.7733469,11.91915607,12.38040733
16384,10.77173424,12.03773117,12.59057713,10.90643406,11.9590826,12.37341976
18432,10.64288425,12.04588795,12.67552948,10.83053207,11.97601986,12.40066338
20480,10.66793728,11.94257069,12.58471012,10.87779713,11.90261078,12.3211937
22528,10.60848236,11.96839237,12.67190266,10.75629997,11.8707552,12.37578297
24576,10.73417664,12.13186836,12.77716064,10.82445717,12.0053339,12.4358139
26624,10.81328392,12.1500082,12.77846241,10.87309361,11.97501087,12.38167095
28672,10.58817959,12.00568008,12.70360184,10.81367874,11.986166,12.44377041
30720,10.71819973,12.07501316,12.69539738,10.80870342,11.93522549,12.33906746
32768,10.61986542,12.0222435,12.71889782,10.74668789,11.91251659,12.41228104
34816,10.76080322,12.07380295,12.76419449,10.7607832,11.84241486,12.35094261
36864,10.85982513,12.1791687,12.80154133,10.89148712,11.98451519,12.41498756
38912,10.53363514,11.91036797,12.6056633,10.67569828,11.8013401,12.2915554
40960,10.78257942,12.15066242,12.77839184,10.89104462,12.02869415,12.45089531
43008,10.72079182,12.11035347,12.70538998,10.84294415,12.00246239,12.38246441
45056,10.93657684,12.25170422,12.84264755,10.88653851,12.01221943,12.43523407
47104,10.75776386,12.09707165,12.67465401,10.78695297,11.90269947,12.30338478
49152,10.86395836,12.20787907,12.791605,10.84436512,11.98383236,12.40985584
51200,10.84401512,12.15800095,12.79418373,10.92235184,12.01606655,12.45679188
53248,10.64699745,12.04829788,12.73054218,10.60060787,11.7693243,12.29122162
55296,10.77031231,12.11144161,12.71668243,10.82936764,11.95581627,12.39049721
57344,10.7328043,12.08411789,12.7440176,10.71615505,11.83300972,12.33142281
59392,10.83994389,12.22163868,12.82422638,10.86226082,12.03355789,12.45977688
61440,10.78929138,12.12779713,12.76926994,10.79695702,11.92539787,12.40465069
63488,10.86333942,12.26378536,12.82602215,10.85636902,12.02068424,12.40740681
65536,10.80642509,12.12771797,12.81222153,10.78341103,11.90789223,12.44291782
67584,10.82868099,12.18018913,12.78452587,10.76609325,11.91653728,12.38756561
69632,10.87242222,12.20780277,12.79877853,10.79096317,11.89975739,12.36081409
71680,10.77420616,12.11444283,12.73361588,10.80835629,11.92703247,12.38894463
73728,10.9466486,12.26725388,12.82975578,10.81217957,11.93590927,12.3834362
75776,10.8574791,12.17840767,12.73799133,10.80160713,11.90147591,12.33785248
77824,10.76974487,12.22267818,12.86657619,10.65419197,11.87732315,12.39722919
79872,10.91915798,12.22410202,12.84007645,10.80696678,11.88024139,12.37435722
81920,10.82036209,12.1590147,12.77975273,10.7705698,11.89889908,12.385952
83968,10.72616291,12.1750021,12.78258228,10.68100643,11.91682339,12.37957573
86016,10.92543793,12.27080441,12.89462662,10.79289818,11.93929863,12.42837334
88064,10.86483765,12.2569294,12.83560562,10.76207066,11.94741058,12.39312363
90112,10.87246418,12.25546932,12.83356476,10.75665188,11.91183567,12.3741188
92160,10.89222145,12.31861401,12.8597002,10.76745605,11.98343849,12.39582062
94208,10.8674202,12.16491413,12.79426193,10.73178101,11.82901096,12.35393429
96256,10.90166569,12.24095726,12.81257343,10.7634201,11.89159393,12.37662983
98304,11.05457783,12.38611794,12.87977505,10.85464859,11.98147488,12.38347721
100352,10.94222355,12.32227325,12.9064188,10.67750168,11.86420059,12.37592316
102400,10.82966709,12.18885803,12.76800346,10.72813702,11.8635788,12.35513306
104448,11.05315208,12.25460243,12.83564949,10.91950703,11.92888451,12.41458416
106496,10.91444111,12.30700588,12.84322929,10.80899334,11.95947075,12.39258862
108544,10.9630661,12.29224491,12.79876041,10.78846836,11.92691135,12.36052227
110592,10.94264317,12.33540535,12.83370972,10.75466251,11.92421341,12.36799335
112640,10.86474228,12.24710083,12.79410744,10.68746471,11.86603451,12.31980419
114688,10.99481773,12.37505436,12.88969994,10.73594284,11.90982723,12.34369087
116736,11.08524704,12.45073128,12.9285717,10.77813148,11.93095398,12.35918903
118784,10.93261909,12.27571869,12.80766487,10.68792343,11.84257603,12.29714203
120832,11.09687901,12.42115498,12.86416912,10.802948,11.92776394,12.33520794
122880,10.97538853,12.33800983,12.84914398,10.74124813,11.90590572,12.37038231
124928,11.00950241,12.33695793,12.90482903,10.77907658,11.89416122,12.4148798
126976,11.1268568,12.46447277,12.93546391,10.87749481,11.99534416,12.4326086
129024,10.98318481,12.39097404,12.92595196,10.66065598,11.86457157,12.3591156
131072,10.91573143,12.24197102,12.82735825,10.73989964,11.86244392,12.37425804
133120,11.07251167,12.39684677,12.93650723,10.85404491,11.97574615,12.43473721
135168,11.09616566,12.42022419,12.88700008,10.81949425,11.9585886,12.35385513
137216,10.98369503,12.34982109,12.89588451,10.69746399,11.85341835,12.33618164
139264,11.12947369,12.39966869,12.9418354,10.82718372,11.92878342,12.41184807
141312,10.9853363,12.31474113,12.85278225,10.70010662,11.86623287,12.35006237
143360,11.01607895,12.32079601,12.79914093,10.74794292,11.88579369,12.30834484
145408,11.1094799,12.35794735,12.89239502,10.79679775,11.88241196,12.35475159
147456,11.08452606,12.41645908,12.89785767,10.77327061,11.95848465,12.38677311
149504,11.01026917,12.38546085,12.90250778,10.65992737,11.85380554,12.34132004
151552,10.97991371,12.39529419,12.87918854,10.64639854,11.89926243,12.35222816
153600,11.16162491,12.41560173,12.90379333,10.81692123,11.91097546,12.36976719
155648,11.06436539,12.44114113,12.89542294,10.6828661,11.89681816,12.3318367
157696,11.24866962,12.56337357,13.0062952,10.8694458,12.02569866,12.46260834
159744,11.12895393,12.40563774,12.90814304,10.74480724,11.85956383,12.33081055
161792,11.20269585,12.46325588,12.95132637,10.82719707,11.90067387,12.35979271
163840,11.20401573,12.47556591,12.93891621,10.81574535,11.92810249,12.35558701
165888,11.23134327,12.51814175,13.00358582,10.84872437,11.95540428,12.41374207
167936,11.13980961,12.4647913,12.92649174,10.74476147,11.92233849,12.36399269
169984,11.09392548,12.47241879,12.94621944,10.70658302,11.92002678,12.38554382
172032,11.01640511,12.39821911,12.90287781,10.62410355,11.85022449,12.34480572
174080,11.21602345,12.44071484,12.8835659,10.82325172,11.90783215,12.35276604
176128,11.21337605,12.46521473,12.94403076,10.77824116,11.90309715,12.35667324
178176,11.20613003,12.45974827,12.90760422,10.85080814,11.96795559,12.39014244
180224,11.00471306,12.37800598,12.88075542,10.63119221,11.83492947,12.33073616
182272,11.19664001,12.438344,12.92494678,10.79666805,11.90730572,12.3803854
184320,11.14883232,12.42479134,12.89070988,10.7560358,11.9011879,12.3636446
186368,11.23972988,12.44850254,12.90751362,10.82731724,11.89932728,12.35187054
188416,11.2289772,12.48557281,12.9637537,10.84442425,11.97255325,12.42515373
190464,11.12312984,12.40621471,12.89243221,10.68106842,11.83292866,12.27254105
192512,11.25450134,12.51514053,12.9840765,10.8703146,11.97310543,12.42125416
194560,11.20265961,12.49697304,13.00615978,10.7565403,11.88680267,12.36599159
196608,11.33268356,12.62567234,13.05160332,10.89232254,12.0095005,12.42827797
198656,11.15123367,12.42318439,12.98524094,10.73451805,11.87905502,12.40258694
200704,11.20619011,12.52404308,13.03360367,10.7255764,11.90015411,12.35914135
202752,11.18466282,12.526227,13.01631069,10.7155056,11.93163204,12.38299656
204800,11.1055603,12.40727043,12.99903965,10.66693211,11.84826565,12.38800907
206848,11.21585941,12.55131245,13.08694935,10.69254208,11.91309261,12.42346096
208896,11.33812714,12.57801056,13.08548164,10.86318302,11.97049236,12.44061756
210944,11.30048466,12.55708599,13.0221138,10.82825089,11.95391655,12.36997414
212992,11.09332275,12.40959263,12.9592886,10.69269085,11.87833786,12.38603878
215040,11.22106647,12.56350803,13.04345894,10.73746395,11.94499683,12.38715076
217088,11.35115242,12.57430458,13.02312851,10.88891029,11.99145699,12.40420818
219136,11.32828999,12.50982475,12.97498703,10.86257458,11.93348885,12.35795498
221184,11.38208961,12.65038586,13.10384083,10.88692188,12.02260494,12.42559052
223232,11.2195034,12.50570679,13.05392361,10.77179909,11.93453217,12.40049934
225280,11.38240719,12.54724026,13.08261681,10.92503071,11.98089027,12.44842529
227328,11.26293373,12.48513317,13.05900002,10.78975201,11.90278721,12.39619827
229376,11.16368389,12.49447632,13.01819801,10.67572975,11.8891468,12.35368824
231424,11.35435677,12.54086781,13.02168655,10.91367531,11.98545074,12.39012337
233472,11.24658489,12.59164429,13.06722832,10.72818661,11.96058273,12.37225723
235520,11.25689602,12.52694416,13.02207661,10.76507378,11.93215275,12.34758091
237568,11.30537701,12.59231091,13.03627014,10.82105923,11.984375,12.38494968
239616,11.28692818,12.52469254,13.03262329,10.78890419,11.90706444,12.35641479
241664,11.2718029,12.53107643,13.06683064,10.75109768,11.88887119,12.39493656
243712,11.31347752,12.57269001,13.03802586,10.85828495,11.99077415,12.38696957
245760,11.45068455,12.66146374,13.12595844,10.8921423,11.96604538,12.37031746
247808,11.39122295,12.59785843,13.07862282,10.85810852,11.93725586,12.36866474
249856,11.36016464,12.609375,13.15627766,10.80868244,11.90911865,12.39575291
251904,11.32539272,12.65472126,13.11935616,10.76832485,11.95108223,12.38549042
253952,11.37722874,12.67859364,13.10047054,10.82050037,11.96580029,12.35061073
256000,11.28175354,12.57448292,13.11719704,10.69382191,11.8141098,12.317976
258048,11.42944336,12.69175911,13.11397171,10.87787533,11.99031448,12.37663555
